Remove_noise,nilai,sentimen
puas banget bisa konsultasi dengan doktr langsung sangat sangat membantu saya,17,positif
sangat bagus dokter sangat ramah dan detail,15,positif
terimkasih halodoc betul betul sangat membatu sekali di sat benar benar sudah malam tidak bisa tanya teman atau saudara karena sudah pada istirahat rekomen buat instal apk ini teman-teman dokter fast respon dan super duper ramah terima kasih banyak,24,positif
keren bykin promo grtsnya tapi jangan cuma dokter umum tapi per spesialis dokter gtu sukses terus,5,positif
saya sudah konsultasi dan fre terus ada resep obatnya lagi saya juga orang kesehatan jadi mengerti dan menurut aku ini aplikasi terbaik biasa di coba buat membantu memberikan penanganan awal ketika belum sempat ke rumah sakit untuk periksa,19,positif
mantap sekali pesen obat kurang dari sampai mantul,-3,negatif
doter dapat berkomunikasi dengan bahasa yang mudah untuk dipahami,-3,negatif
sangat membantu sekali tidak perlu repot lagi bila tahu jenis penyakitnya semua diterangkan secara detail dan dibantu sampai benar mengerti dan paham terimakasih halodoc,11,positif
saya baru pertama coba dan alhamdulilah merasa sangat terbantu dalam konsultasi penyakit nantik setelah beberapa kali coba mungkin akan saya berikan bintang,2,netral
pertama chating dengan dokter umum namanya dari nesya semi arum mudah dipahami enjoy baik sekali terimakasih dokter terimakasih halodoc,19,positif
baru download tidak bisa di gunain tidak bisa di gunain sama sekali tolong pejelasan,-5,negatif
kenapa di samsung prime tidak bisa di operasikan ini aplikasi,-9,negatif
di rumah sakit mitra keluarga tegal sayang hanya bisa kirim pakai gojek sampai antrian obat lama terkirim harusnya bisa sekalian pakai grab biasanya grab juga cepat karena driver jarang pilih jarak jauh maupun dekat,-5,negatif
alhamdulilah uang sudah di refund penanganan cepat jika lngsung menghubungi cal center semoga tidak terjadi seperti ini lagi tapi saya kapok dan tidak pakai lagi aplikasi ini,-11,negatif
ketika kita mengalami sakit pada malam hari halodoc bisa membantu sekali terima kasih untuk aplikasi halodoc sangat membantu,4,positif
pelayananya bagus dokternya ramah dan mudah dimengerti,11,positif
membantu banget saran saya metode pembayaran di tambahkan indomaret alfamaret,-1,netral
aplikasi yang amat sangat membantu dokternya sangat ramah menjawab tiap pertanyan dengan sangat memuaskan terimakasih halodoc,23,positif
rekomen banget buat yang lagi sibuk ketempat dokter spesialis hemat waktu dan tempat aplikasi ini sangat membantu sekali,5,positif
berkat aplikasi ini kalau konsultasi jadi mudah dan lancar,8,positif
pelayanan sangat baik terimakasih halodoc,14,positif
ada disat butuh very helpfuly kalau lagi tidak bisa kemana karena sakit,-18,negatif
alangkah baiknya kalau pesen barang bisa bayar di rumah biar lebih praktis kasihan yang tidak tahu cara isi saldonya gopay apalagi yang tidak punya atm kayak saya tadi saya pesen obat tapi tidak jadi karena tidak punya saldo gopay padahal butuh banget obatnya terima kasih,-12,negatif
aplikasi ini sangat membantu karena bisa hemat waktu tidak perlu keluar rumah untuk konsultasi dengan dokter terimakasih telah menghadirkan aplikasi ini saya sangat puas,8,positif
dokternya banyak kita bisa pilih sesuai selera dan seringnya dapat dokter yang baik banget nanyak banyak hal dulu mendalami semua keluhan pasien baru memberi rekomendasi obat tidak ujug abia curahan hati langsung kasih resep gudjob halodoc,9,positif
respon baik dan cepat terimakasih halodoc,13,positif
sangat membantu dan doktwrnya ramah,12,positif
sangat membantu dan mudah untuk digunakan,11,positif
sangat membantu sekali terimkasih bnyak halodoc,6,positif
helpful banget dan dokternya baik dan responya cepat,7,positif
saya sangat puas pertama kali saya mengunakan apa ini membuat saya jadi mudah untuk berkonsultasi dengan dokter terutama tanpa harus keluar rumah apalagi dokter pada ramah semua terima kasih,1,netral
aplikasi memang berbayar tetapi serasa punya dokter pribadi,0,netral
sangat membantu untuk dapat referensi dari dokter lain,2,netral
sangat membantu banget dokter ramah maksih aplikasi sangat membantu,16,positif
respon cepat dan sangat membantu disat urgent,12,positif
terimakasih sangat membantu tidak perlu pergi ke faskes sudah bisa konsultasi dengan dokter,16,positif
tadi ada pihak yang menghubungi atas nama aplikasi haldoc menawarkan sesuatu pelayanan grtis tapi meminta nomer ktp dan nomer rekening saya ragu jadi tidak saya lanjuti apakah benar yang telpon tadi dari pihak aplikasi ini,-33,negatif
sangat memuaskan dokternya baik dan memberikan solusi,14,positif
selama saya mengunakan aplikasi halodoc untuk konsultasi ke berbagai dokter dan berbagai keluhan untung ada halodoc yang siap membantu kapan saja dan dimana saja terima kasih halodoc,4,positif
terima kasih halodoc dengan aplikasi ini sangat membatu jika lagi ada masalah penyakit yang kita alami belum sembuh,-6,negatif
terbantu dan keren sudah zaman milineal semua berbasis digital mantap dokternya menjawab dengan bahasa yang ramah,1,netral
sangat membantu ketika memerlukan konsultasi dokter sesegera mungkin terimakasih halodoc,14,positif
membantu sekali tapi kalau bisa setiap dokter specialis di kasih yang fre,-1,netral
cukup membantu denganpertanyan yang sopan dan jawaban cepat,0,netral
terima kasih aplikasi terbaik ditangani dokter yang ramah baik keluhan kesehatan kita teratasi,5,positif
sangat membatu malam ini anak saya demam dan persedian obat habis lgsung download aplikasi ini terima kasih halodoc,-2,netral
terima kasih saya sangat puas dengan aplikasi ini aplikasi ini sangat membantu dan saya tidak repot repot lagi pergi keluar rumah untuk ke rumah sakit tingal tanya ke aplikasi halodoc dan saran obatnya lalu pesan dan untuk dokter juga baik,-8,negatif
pokok top markotop sangat sangt membantu aplikasi seperti gni yang harus di pertahan,0,netral
informasi yang diberikan sangat membantu dan fast respon,6,positif
saya baru pertama kali pesan obat halodoc cuma saran saja lokasinya mohon untuk yang terdekat saya perum tangerang dapat driver ciputat alhamdulilah diantar cuma kasiam driver jauh banget semoga lebih baik saja ke depanya terima kasih,-8,negatif
sayangnya aplikasi ini cuma bisa digunakan untuk sekitar jabodetabek tidak bisa digunain diluar jabodetabek padahal aku juga mauk pakai aplikasi ini tapi sama sekali tidak bisa aku tingal di daerah lampung,-14,negatif
baru download coba beli obat harga karena lupa isi dompet atau kartu kredit pesanan di batalakan dan di suruh pesan balik baru pesan balik harga sudah berubah jadi,7,positif
ada opsi chat with us tapi tidak di balas balas di telepon nyuruh chat with us tapi tidak di balas katanya fast respon hft kecewa padahal ini aplikasi keren,-3,negatif
ok bisa membantu banget bagi orang yang sibuk rutinitas,10,positif
kayaknya halodoc sangat bagus dan bisa membantu masyarakat,6,positif
sangat membantu konsultasi jadi lebih mudah beli obat jadi lebih efesien,17,positif
aplikasi yang sangat membantu dokternya ramah dan memberikan penjelasan yang mudah di pahami terimakasi halodoc,5,positif
pertama kali coba dan sangat efisien terima kasih halo doc,13,positif
sangat bagus karena bisa chat langsung dan di jawab langsung oleh dokternya seperti sedang chat dengan teman jadi saya bisa mengetahui apa yang terjadi pada diri saya terima kasih halodoc,6,positif
mantap sangat memudahkan untuk pembelian obat tingal pesan tidak lama di antar,1,netral
sangat terbantu sekali konek dengan asuransi lagi keren terima kasih,3,netral
saya sangat terbantu dengan aplikasi ini terimaksih sudah menyapa dengan begitu ramah bagi para dokter semoga semuanya sehat selalu,15,positif
tarima kasih sebanyak banyaknya dengan aplikasi ini aku bisa sehat kembali makanya aku kasih bintang,11,positif
respon cepat dan dokternya juga ramah tingkatkan terus,10,positif
holdoc ini sangatlah bagus dan bermanfat bagi saya dimana semua yang kita keluhkan akan langsung dijawab dengan cepat aku sangat puas dengan mengunakan aplikasi ini,3,netral
pertama kali pakai halodoc pesan resep racikan sangat fast respon dan ramah pemesanan cepat order sudah sampai rumah nga perlu nungu seharian pokonya rekomended terima kasih halodoc semoga penyakit saya cepat sembuh,31,positif
baik respon dari tidak lambat sya puas ada apl ini terimakasih,10,positif
terimakasih aplikasi ini sangat membantu dan tangapan dokter baik dan cepat,14,positif
sangat membantu disat anak tiba tiba sakit di malam hari,2,netral
pelayanan sangat ramah,11,positif
cepat aplikasi mudah harga juga sama tidak perlu repot repot keluar sendiri,-10,negatif
masukan foto ktp keliru untuk ubah masih tetap tidak berubah,2,netral
trimaksih dengan adanya aplikasi ini sangat membantu prosesnya cepat tidak ribet dokternya juga cepat tangap semoga resep yang diberikan dokter cocok di saya dan yang lainya amin,-1,netral
aplikasi sangat bagus dan dokter cepat membalas,8,positif
untuk percoban awal lumayan puas terima kasih dokter,10,positif
sangat sangat membantu penjelasan sangat detail semoga kedepan semakin lebih baik,26,positif
sangat membantu sekali semoga dipertahankan kalau bisa ditingkatkan pelayanan tarifnya jangan naik kalau bisa,7,positif
sangat bagus dan membantu dan dokternya cepat respon chat saya,14,positif
pelayananya ramah dan bagus,7,positif
chat sama dokter dokternya fast response dan menjawab dengan lengkap tapi aplikasinya yang tidak jelas karena jawaban dokternya tidak kelihatan di fitur chat jadi aku bacanya dari notif hp terus balasan chat dari dokternya sempat delay lama banget jadi sudah kacau terus chat sudah berakhir waktunya sudah habis baru kelihatan itu balasan dari dokternya harusnya menit berbayar bisa maksimal untuk konsul tapi ini jadi kelaman nungu balasan dokternya di aplikasi,8,positif
alhamdulilah baru pakai aplikasi ini tapi puas banget mklum sya seorg ibu pkerja jadi enak saja tidak prlu rumah sakit sya lngsung online bisa lngsung tnya dkter simple hemat waktu pkoknya top banget halodoc ini rekomendasi buat emak yang tidak ontime rumah,6,positif
bagus banget aplikasinya mohon lebih ditingkatkan lagi pelayananaya,3,netral
sangat membantu sat sat belum bisa kerumah sakit,2,netral
sangat membantu sekali konsultasi dengan dokter mudah dan selalu baik responya untuk obatpun gampang dicarinya tingal tungu di rumah obat sudah sampai terima kasih halodoc,29,positif
sangat membantu dan dokter respon sangat cepat thankyou halodoc,15,positif
terima kasih halodoc dokternya ramah mudah dipahami penjelasanya,13,positif
suka banget sama aplikasi ini tidak prlu jauh ke tmpat untuk bisa konsul,-6,negatif
aplikasi yang bagus dokternya pengalaman dan memberikan informasi yang baik,-5,negatif
sangat membantu sekali di kala kesulitan mencari toko obat di malam hari,-6,negatif
pak saya bingung anak saya blablabla dijawab kalau bingung bawa ke faskes terdekat saja pak anak saya usia tahun sudah tidak pipis dijawabnya bawa ke kamar mandi suruh pipis bilang jangan ditahan tahan sedang apa saya bayar konsul kalau jawabanya kaya begitu,-30,negatif
terima kasih halodoc walaupun ada yang berbayar tetapi sangat memuaskan,8,positif
sngat kecewa tiap beli obat prsdian tidak ada tidak ada terus bgaimana now watching bisa mbantu now watching beli obat yank diprlukan saja slu tidak ada masa skit gigi blinya skit perut krna tidak dha terus prsdianya perbaiki lagi tlong,-11,negatif
sangat membantu sekali tapi harga obat agak sedikit high price mungkin bisa di kasi solusi untuk obat generik paten yang lebih terjangkau,-6,negatif
sangat membantu buat anak kosan yang sedang merantau,0,netral
sangat mudah murah dan praktis,14,positif
saya menyesal mendownload apk ini aku sudah masukkan nomor aku padahal benar tapi kode tidak masuk masuk sudah aku coba berkali kali,-1,netral
kali pertama konsultasi dengan dokter langsung pelayananya cukup baik dan ramah sekali hanya saja sesi waktunya cuma sebentar,-4,negatif
dengan ada aplikasi ini saya tidak ribet lagi kerumah sakit lagi untuk konsultasi terima kasih halodoc,-16,negatif
terima kasih banget dengan adanya aplikasi ini benar membantu saya dalam menangani masalah yang sedang ada pada tubuh saya layanan sangatlah cepat terimakasih untuk dokter yang telah membantu saya terus tingkatkan untuk layanan dan aplikasinya jika masih ada yang kurang namun saya masih baru pertama kali ini mengunakan halodoc jadi masih belum menemukan kekurangan apa saja yang ada,-13,negatif
pelayanan sangat baik dan memuaskan saya sangat suka sekali,16,positif
suka dokternya ramah konsultasi makin mudah tanpa repot harus pergi ke rumah sakit nomor antrian,6,positif
sangat bermanfat bisa memberi peluang mengabdi untuk dokter tanpa harus kehilangan pemasukan utama,-7,negatif
keren hanya saja pesan terkirim agak lama,-8,negatif
maf belum bisa instal aplikasi ini karena kuota hp tidak memadai,-14,negatif
suka banget tangapan dokter sangat cepat,10,positif
baru pertama coba chat dokter langsung dapat respon dan penjelasan yang detail di balasnya juga cepat terima kasih,19,positif
pengalaman saya dengan halodoc sangat puas karena dokternya begitu memjawab dengan sangat telaten terimakasih dokter,14,positif
bermanfat sekali dokter mengobati harus juga dengan empati sukses terus,-3,negatif
sangat membantu tingkat terus pelayanan,11,positif
cepat terhubung dan cepat di balas pertnyan kita,7,positif
aplikasi sangat membantu sat hujan deras malas menyetir keluar harga juga terjangkau bila dibandingkan dengan aplikasi sejenis,-2,netral
aplikasi yang bagus dan sangat membantu,0,netral
semakin mudah tidak perlu jauh jauh ke dokter semua ada di gengaman terimakasih halodoc,1,netral
membantu khususnya untuk yang urgent dan belum bisa ketemu dari spesialis semoga bermanfat dan tingkatkan terus pelayanan,6,positif
praktis dan sangat berguna terimakasih,17,positif
membantu sekali ini apa tingkat terus terimakasih,6,positif
sangat amat membantu sekali aplikasi ini disat sakit dimanapun dan kapanpun selalu ada dokter yang bisa membantu memberi saran untuk sakit yang saya derita,-10,negatif
cukup puas respon dokter cepat dan ramah,8,positif
dokternya ramah banget penjelasan diagnosa penyakit sampai petunjuk pengunan obat detail sekali alhamdulilah ada aplikasi yang sangat membantu seperti ini terimakasih halodoc,14,positif
bintang layanan sangat membantu daripada keliling cari diapotik konsul dokternya juga ok top markotop rugi kalau belum kenal dan pakai,13,positif
rekomended banget buat ibu ibu harus banget ada aplikasi ini di hp karena pelayananya fastrespon dan dokternya ramah untuk harga juga sangat terjangkau,6,positif
sangat cepat tangapan thank you halodoc,10,positif
lumayan tapi waktu untuk yang fre kalau bisa ditambahkan lebih baik tambahin kalau bisa gausah pakai waktu,-6,negatif
alhamdulilah membantu sekali namun saran untuk ada dokter yang selalu fre tiap hari trms semoga makin baik dan saran di dgr,16,positif
terimakasih sangat membantu semoga berkah dan bisa membantu lebih banyak kalangan terutama menengah bawah,30,positif
pertama make aplikasi ini dapat respon yang baik dan cepat,1,netral
waktu itu saya pusing muntah dan bingung ke rumah sakit tidak ada yang antar terus coba pakai halodoc dokter benar benar ramah cepat ngejawab dan di kasih obat kurir juga cepat nyampe dalam waktu dua hari saya sembuh terimakasih halodoc,6,positif
terimakasih halodoc aplikasinya membantu sekali dokternya juga ramah,13,positif
sangat mudah berkonsultasi tanpa harus kluar rumah is god like,5,positif
menurut saya sedikit membantu menjawab rsa penasaran orang bagus aplikasi,-4,negatif
aplikasi jualanya tidak update barang di display kelihatanya ready stock tapi begitu check out semua tidak tersedia harusnya di display dikasih keterangan kalau barang habis atau kalau barang habis tidak perlu ditampilkan di display,-8,negatif
sangat membantu sekali bagi saya yang diam di rumah untuk berkonsultasi dengan dokter dimanapun kapanpun perihal keluhan yang dialami aplikasi ini membuat pelayanan kesehatan dapat dijangkau semua orang hanya dengan gadget mereka masing masing tingkatkan terus pelayanan kesehatan dan semoga aplikasi ini dapat membantu banyak orang,2,netral
sangat membantu dan penjelasanya jelas banget,9,positif
sangat membantu dengan adanya halodoc terima kasih banyak dokter widia umum dan terima kasih andri spesialis saraf cara penyampaian dan informasinya sangat sangat jelas dan mudah dipahami sukses selalu buat kalian,40,positif
dokter baik dan ramah semua juga banyak mengulas informasi penting seputar kesehatan,13,positif
suka banget alhamdulilah hari ini baru nyoba ini aplikasi memuaskan banget terima kasih halodoc,13,positif
halodoc memang ok cepat memberi tangapan setiap pertanyan dan memberi solusi tepat dalam setiap masalah kesehatan,17,positif
sangat terbantu untuk kesehatan keluarga,7,positif
disat butuh obat tapi obatnya susah dicari di apotek terdekat dan ternyata di halodoc bisa dengan mudah belinya dan cepat banget sampenya masya alah terima kasih sudah buat aplikasi ini,-2,netral
dokternya ramah cepat dan tangap god,8,positif
hebat sudah tengah malam masih bisa konsultasi jadi bisa sedikit lebih tenang terima kasih halodoc,14,positif
sangat membantu ketika kebingungan tengah malam,5,positif
memberikan informasi secara tidak langsung melalui dokter yang sudah berpengalaman,5,positif
mempermudah pasien untuk mendapatkan obat tidak perlu antri lama,-13,negatif
aplikasi ini sangat membantu tapi promonya begtu cepat saya baru coba chat dengan dokternya sudah habis waktunya,14,positif
saya makmun bilambika dari hulu sungai utara kalsel mengenai apk ini sangat membantu sekali dalam kehidupan saya mudah pengunanya dan cepat responya dari dokter ahlinya jempol seratus,5,positif
maf aku tidak suka dengan aplikasi ini aku chat dengan dokter bahkan eror loading mesenge terus aku chat lagi begitu terus bahkan cheat gratisnya bahkan hilang karena itu jaringanya sudah lancar juga auto unistal saja,-6,negatif
sangat membantu dan mempermudah dalam mncari obat perlu keliling apotik terkadang kita sudah keliling apotik obat yang cari bahkan ada,5,positif
sangat membantu harga murah dokter yang ada sangat informatif tidak perlu antri lagi untuk konsul ke klinik terimakasih sudah menyediakan aplikasi yang sangat berguna recomended,18,positif
mantap dan cepat tangap,8,positif
kenapa setelah instal isi data tidak bisa terus tidak merespon,-8,negatif
bagus cuma orderan mental jauh jadi agak nungu lama,-8,negatif
kenapa punya saya macet yah padahal sudah saya update tetap g bisa sampai saya uninstal terus instal berkali kali tetap tidak bisa masukkan nomor telepon saja g bisa gerak sama sekali,-2,netral
aplikasi ini sangat membantu sekali bisa konsul dokter tanpa harus ke tempat prakteknya dokternya ramah dan informatif sekali,-2,netral
saya baru coba untuk apk ini dan responya bagus kalau untuk selanjutnya harus berbayarpun tidak apa apa karena sangat cocok untuk saya yang tidak tahu benar mengenai sakit dan obat tapi kalau berbayar apa diberi batasan untuk chat dengan dari apa bisa terus menerus bisa cht dengan dokternya jika berbayar atau hanya sekali tanya saja mohon dijawab terima kasih,-36,negatif
pertama kali nyoba aplikasi ini karena suami lagi enga bisa kemana karena badan panas sudah malam juga ditambah stok obat pada habis akhirnya enga pesen disini benar ngebantu banget tapi yang disayangkan pilihan apotiknya hanya century yang aku tahu untuk pengambilan obatnya juga lumayan jauh dari rumah kalau bisa kasih saran untuk apotiknya tambah juga kaya apotik apotik kimia farma terima kasih,-7,negatif
halo doc sangat membantu cepat menangapi dan langsung lengkap di beri resep obat,18,positif
kirain ngobrolnya gratis ternyata bayar percuma nginstal apk ini,9,positif
bagus mudah dan langsung dapag resep obatnya,12,positif
sangat membantu tidak perlu kerumah sakit untuk konsultasi,2,netral
sangat sangat sangat hemat daripada konsultasi langsung ke praktek mohon buat para dokter kalau praktek biaya konsultasi jangan mahal karena negara kita pendapatan penduduknya perkapita masih rendah jdnya engan untuk konsultasi karena biaya konsultasi sudah sama dengan beli beras untuk sebulan sekali lagi terima kasih halo doc,30,positif
the best beli obat jadi mudah layanan ramah dan memuaskan,17,positif
lebih menyenangkan konsultasi disini dibanding apa sebelah lbh berasa kaya datang ke dokternya langsung,0,netral
trimaksih sesi ini sangat membantu sekali terutama unt konsultasi kesehatan karena biasanya orang kalau sudah sakit baru ke dokter itupun bingung harus ke dokter bagian apa dengan konsultasi disini bisa terbantu trimaksih halodoc,-2,netral
respon dokter baik banget dan cepat terima kasih banyak,16,positif
sangat mudah dan gampang sekarang bermanfat sekali dan efisirn waktu tanpa harus mengantri dirumah sakit,0,netral
sangat membantu pengiriman cepat respon cepat apalagi kalau ada voucher diskon dan gratis ongkirnya tambah suka,28,positif
terobosan baru di dunia pengobatan semoga terus baik lagi terima kasih semua untuk para dokter,6,positif
sangat membantu di kala ada kendala waktu bisa konsultasi lewat hp terimakasih,21,positif
aplikasi halodoc menyediakan asuransi kesehatan aku memang baru ini pakai aplikasi halodoc terus tadi tiba ada yang telpon menawarkan asuransi kesehatan katanya dari halodoc mohon jawabanya aku kasih bintang dulu,3,netral
sangat puas dengan penjelasan dan dokternya sangat ramah,17,positif
aplikasi halodoc bisa menjawab brapa kali pertanyan dan dokterny baik,-2,netral
fasilitas sangat memudahkan,8,positif
aplikasi yang bagus dan sangat membantu sukses terus buat apa halodoc respon chatnya cepat di balas dokternya sangat ramah sekali lagi terimakasih,16,positif
kali jangan bosen bakar uang yak saya suka budget promo anda,-5,negatif
cepat dan sangat terbantu,6,positif
dokter yang melayani konsultasi sangat ramah fitur cukup lengkap aplikasi yang very useful,-3,negatif
dokter cepat dalam menjawab pertanyan sanga membantu makasi halodoc dan dari ayu rezki,7,positif
puas sama pelayanan dokter di halodoc respon cepat dan sangat membantu terimakasih,26,positif
terimakasih dokter yang bergabung di aplikasi ini sedikit banyak sangat membantu segala saran dan informasinya semoga aplikasi ini semakin maju dan berkembang agar bisa menolong orang yang membutuhkan,-2,netral
alhamdulilah dengan halodoc pertanyan mengenai kesehatan bisa trjawab dengan baik jelas dan bisa dimengerti terima kasih kasih halodoc,13,positif
ada halodoc memudahkan kita untuk konsultasi sebelum melangkah lebih jauh,7,positif
terima kasih halodoc saya baru pakai aplikasi ini tapi langsung terlayani oleh dokter buat keluhan saya lewat chat semoga terus membantu,6,positif
seharusnya halodoc mempermudah menebus resep obat dari dokter bukanya mempersulit seperti ini kalau farmasi rumah skit ada enga mungkin saya sampai mengunakan halodoc untuk mencari obat saya juga sudah hubungi tapi tidak memberi solusi apapun bahkan bertele,-9,negatif
terimakasih aplikasi halodoc sangat membantu sat kita lagi kesakitan tidak perlu keluar rumah untuk konsultasi ke dokter lewat aplikasi ini sudah bisa sekali lagi terimakasih halodoc,7,positif
sangat bermanfat dan membantu untuk mengetahui kondisi kesehatan kita kapanpun dan di manapun terimakasih halodoc,12,positif
sangat membantu jadi tahu masalah yang dihadapi dan dapat solusi yang sangat membantu,10,positif
terimakasih sangat membantu konsultasinya respon dari dokternyapun cepat,14,positif
tangapan cukup cepat dan konsultasinya cukup memuaskan,-2,netral
pelayanan cepat dan ramah semoga lebih baik kedepan,17,positif
terimakasih halodoc awalnya ragu untuk konsultasi di halodoc ini tapi karena saya penasaran dengan keluhan setelah op akhir saya konsultasi juga dokter yang saya chat balas pesan cepat dan di beri saran yang telah di beri saya lakukan terimakasih,-3,negatif
mantaps beberapa kali pakai halodoc obat diantar dngan aman tanpa pamri terimakasih semoga menjadi contoh aplikasi serupa,-4,negatif
jelas interaktif dan bermanfat,1,netral
layanan sangat memuaskan dan dapat resep obat juga,13,positif
respon dokter baik banyak memberi saran mudahan keluhan saya bisa benar benar sembuh amin,18,positif
pelayan oke cuma kenapa tidak ambil obatnya dekat dengan lokasi rumah saya di ceger tmi ambil obatnya di jatibening kasihan driver terlalu jauh mengantar obatnya apalagi jika hujan banjir macet dulu yang hari ini saya rasakan yang dimana estimasi menit di rasa kurang karena keadan jalan yang tidak menentu hanya saran saja alangkah lebih baik ambil yang terdekat sukses halodoc,-39,negatif
baru pertama kali saya mengunakan aplikasi halodoc alhamdulilah sangat membantu dan mempermudah konsultasi dimana saya berada terimakasih halodoc,8,positif
kenapa semua merk produk baby oil tulisanya stok habis yang benar saja jelek banget ini aplikasi,-12,negatif
dokter yang profesional memberikan informasi sangat jelas aplikasi yang sangat membantu trimkasih dokter di halodoc,-1,netral
saya sangat terbantu dengan adanya halodoc tapi dari awal saya instal dan gunakan layanan halodoc biayanya naik terus dari awal hanya bayar berikutnya bayar kemarin bayar ini pembayaran untuk jasa pengiriman obat resep saya di rumah sakit selisih kenaikan ini hanya sebulan tolong kalau bisa jangan naikin biaya terus donk,-15,negatif
terima kasih halodoc walaupun tengah malam tep bisa beli obat karena sakitnya tidak tahan,-7,negatif
sangat membantu disat cemas dan sangat mengedukasi,7,positif
terima kasih halodoc sangat membantu sekali dokter dokternya fast respon sehinga untuk beli obat tidak terlalu bingung kalau obat di apotik dekat rumah sudah habis atau lagi kosong,2,netral
dokternya ramah dan detail kalau jelasin cantik pula saranya sangat penting sekali bagi ibu muda yang kebingungan dengan anaknya yang sakit,-5,negatif
sangat membantu apa lagi di sat darurat terimakasih banyak,10,positif
alhamdulilah dengan perkembangan teknologi konsultasi tentang kesehatan sangat mudah sangat membantu dan bermanfat,23,positif
sangat membantu dalam hal konsultasi penyakit dan order obat terima kasih banyak halodoc,13,positif
suka ini awal konsul gratis langsung dikasi resep obat juga langsung pesan obat aplikasi juga terima kasih buat dokter terima kasih juga buat halodoc,20,positif
alhamdulilah lumayan membantu semoga makin maju dan lancar,16,positif
sangat membantu untuk sat ini masih saya beri segini dulu mungkin masih ada kekurangan,6,positif
sangat membantu untuk para pekerja yang susah untuk ambil libur dan sakit ditengah kerja,-1,netral
jawaban dari dokternya lumayan cepat dan sangat jelas,8,positif
baru pertama kali nyoba karena anak sakit dan lagi hamil hujan jadi tidak isa kemana aplikasi ini sunguh informatif dilengkapi dengan real time melacak pesanan sampai dimana sangat terbantu sekali metode pembayaran juga banyak jadi lebih fleksibel,-21,negatif
sangat membantu efisien dan tentunya profesional terimakasih halodoc,16,positif
alhamdulilah terimakasih atas bantuanya dengan adanya aplikasi ini sangat membantu sekali bisa bertanya langsung dengan spesialis mengenai penyakit dan mendapatkan informasi yang lengkap,10,positif
auto uninstal sekarang berbayar bahkan tambah tidak jelas sudah bayar bahkan dokternya begitu minta obat bahkan di ahkiri chatnya apansi,-1,netral
sangat membantu pelayanan sangat memuaskan driver gojek juga ramah sekali terima kasih,26,positif
ini aplikasi rekomendasi banget buat kalian yang sakit kuatir males kerumah sakit mager dokternya ramah pokoknya mantap terus jaya halodoc terima kasih halodoc saya sangat senang dan terbantu menjaga kesehatan saya,-11,negatif
sangat membantu menenangkn pikiran setelah konsult,7,positif
aplikasi ini sangat membantu saya dan respon juga sangat cepat terimakasih halodoc,13,positif
sangat mudah dan bermanfat sekali untuk yang lagi sakit dan tidak bisa keluar rumah tingal pesan obat apa yang dibeli tapi pengiriman lama mungkin bis dipercepat terima kasih,-27,negatif
sangat membantu disat membutuhkan informasi yang cepat dan terpercaya,7,positif
dokternya baik dan sangat ramah sekali buat yang pada sakit yang tidak kuat ke klinik dianjurkan pakai aplikasi ini supaya lebih efisiensi tenaga,-13,negatif
sangat membantu tidak perlu bertatap langsung di rumah sakit yang begitu mengantri,0,netral
pelayananya sangat baik dan responya juga cepat saya bisa tanya dan minta saran sama dokternya saya tidak menyesal instal halodoc,8,positif
penjelasan ckup memuaskan hanya respon dari dokter agak lambat karena gratis itu mungkin,3,netral
sangat membantu di sat darurat dan di hari libur dokter pada libur luar biasa sangat bermanfat holadoc,16,positif
konsultasi cepat respon dokter cepat tanpa harus dtng sangat terbantu sekali dengan halodoc,8,positif
saya sangat menyukai apl ini dokter umum cepat merespon dan kita bisa curahan hati juga tentang masalah kita misalnya galau dalam memilih jurusan kuliah bintang untuk apl ini,14,positif
halo doc sangat membantu buat pertolongan pertama kami terima kasih halodoc,17,positif
dokternya ramah dan fast respon terimakasih halodoc aplikasinya sangat membantu,19,positif
detail gesit dan ramah,7,positif
sudah pesen obat pakai aplikasi ini mantap juga bisa chat langsung dengan dokter setiap sat dan dapat rekomendasi obat,6,positif
sudah sering konsultasi di dokter halodoc dan alhamdulilah dokternya baik semua dan responya cepat untuk harga menurut saya sangat cocok untuk pelajar seperti saya sekali lagi terimakasih banyak halodoc,27,positif
respon baik dan cepat trimakasih dengan aplikasi halodoc cukup membantu saya untuk konsultasi kesehat,7,positif
aplikasi halodoc sangat membantu konsultasi atau minta resep obat bisa di layani di aplikasi ini dan banyak doctor doctor ahli di bidang semoga sukses selalu terima kasih halodoc,16,positif
suka banget sama halodoc kalau ada masalah apa bisa langsung konsultasi kamu thankyou,9,positif
sangat membantu sekali halodoc respon yang cepat saran yang sangat membantu terima kasih,14,positif
baru pertama coba konsul sama dokter alhamdulilah responya baik berjalan lancar belum ada kendala,19,positif
sangat membantu dokternya menanyakan setiap detail terkadang meminta keterangan foto luka dan sebagainya serta obat yang bisa digunakan terimakasih alodoc,10,positif
sangat membantu dan memberi kumudahan terima kasih halodoc,13,positif
cepat dan dokternya ramah sekali,7,positif
dokter sangat ramah dan sangat detil memberikan saran dan tangapan atas pertanyan yang kita ajukan padahal saya juga pakai fre,1,netral
fast respon dokternya tapi bayar nga bisa langsung smntara nga punya gopay atau karti kredit,9,positif
keren halodoc dokternya ramah banget walaupun pakai yang gratis,5,positif
untuk metode pembayaranya kalau bisa diperbanyak opsi pilihanya,-6,negatif
