userName,score,at,content,cleaned_content,cleaning_data,stopword_comment,Normalization,Remove_noise
PersoninPortrait,5,2022-04-04 00:59:57,Memudahkan saya untuk konsultasi kalau belum kuat untuk ke rumah sakit terdekat,memudahkan saya untuk konsultasi kalau belum kuat untuk ke rumah sakit terdekat,memudahkan saya untuk konsultasi kalau belum kuat untuk ke rumah sakit terdekat,memudahkan saya untuk konsultasi kalau belum kuat untuk ke rumah sakit terdekat,memudahkan saya untuk konsultasi kalau belum kuat untuk ke rumah sakit terdekat,memudahkan saya untuk konsultasi kalau belum kuat untuk ke rumah sakit terdekat
akhirul abimanyu,5,2022-04-03 15:43:15,Akses mudah dan dokternya ramah,akses mudah dan dokternya ramah,akses mudah dan dokternya ramah,akses mudah dan dokternya ramah,akses mudah dan dokternya ramah,akses mudah dan dokternya ramah
Rahsya gaming,4,2022-04-03 15:18:56,Pelayanan memuaskan,pelayanan memuaskan,pelayanan memuaskan,pelayanan memuaskan,pelayanan memuaskan,pelayanan memuaskan
anggoro sri setiaji,5,2022-04-03 14:11:44,Aplikasi yang membantu saat dibutuhkan,aplikasi yang membantu saat dibutuhkan,aplikasi yang membantu saat dibutuhkan,aplikasi yang membantu sat dibutuhkan,aplikasi yang membantu sat dibutuhkan,aplikasi yang membantu sat dibutuhkan
nana nunu,5,2022-04-03 09:50:54,"Sangat puas , terimakasih 🎉🎉🎉","sangat puas , terimakasih 🎉🎉🎉",sangat puas   terimakasih    ,sangat puas terimakasih ,sangat puas terimakasih,sangat puas terimakasih
hayati 2021,5,2022-04-03 09:35:33,Sungguh sangat membantu 👍,sungguh sangat membantu 👍,sungguh sangat membantu  ,sunguh sangat membantu ,sunguh sangat membantu,sunguh sangat membantu
Michelle Alea Angel,5,2022-04-03 07:02:21,Layanan praktis dan sangat membantu,layanan praktis dan sangat membantu,layanan praktis dan sangat membantu,layanan praktis dan sangat membantu,layanan praktis dan sangat membantu,layanan praktis dan sangat membantu
dwi agustina,5,2022-04-03 06:16:00,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Azzahra Felicia Adella,5,2022-04-03 04:47:32,Solusi cepat dan kredibel dibanding cari tau sendiri lewat google!.,solusi cepat dan kredibel dibanding cari tau sendiri lewat google!.,solusi cepat dan kredibel dibanding cari tau sendiri lewat google  ,solusi cepat dan kredibel dibanding cari tau sendiri lewat gogle ,solusi cepat dan kredibel dibanding cari tahu sendiri lewat gogle,solusi cepat dan kredibel dibanding cari tahu sendiri lewat gogle
Veni Cikyu,5,2022-04-03 04:17:45,Cukup membantu,cukup membantu,cukup membantu,cukup membantu,cukup membantu,cukup membantu
Mpie Mpiew,5,2022-04-03 03:33:30,"Saya positive corona batch 1 dipertengahan 2021, isoman dirumah. Mau ke RS tapi badan sangat lemah, akhirnya saya konsul dan diberikan resep digital halodoc untuk selama saya isoman. Dokternya sangat care tidak mempersulit pasien walaupun via telemedice (tidak bertatap muka langsung). Alhamdulillah saya kembali sehat, dengan tanpa harus mengunjungi RS berebut obat anti virus. Pilihan tepat dan menyelematkan jiwa saya. Terimakasih FWD & Halodoc Terus menjadi pelopor dunia medis ❤","saya positive corona batch 1 dipertengahan 2021, isoman dirumah. mau ke rs tapi badan sangat lemah, akhirnya saya konsul dan diberikan resep digital halodoc untuk selama saya isoman. dokternya sangat care tidak mempersulit pasien walaupun via telemedice (tidak bertatap muka langsung). alhamdulillah saya kembali sehat, dengan tanpa harus mengunjungi rs berebut obat anti virus. pilihan tepat dan menyelematkan jiwa saya. terimakasih fwd & halodoc terus menjadi pelopor dunia medis ❤",saya positive corona batch dipertengahan   isoman dirumah  mau ke rs tapi badan sangat lemah  akhirnya saya konsul dan diberikan resep digital halodoc untuk selama saya isoman  dokternya sangat care tidak mempersulit pasien walaupun via telemedice  tidak bertatap muka langsung   alhamdulillah saya kembali sehat  dengan tanpa harus mengunjungi rs berebut obat anti virus  pilihan tepat dan menyelematkan jiwa saya  terimakasih fwd   halodoc terus menjadi pelopor dunia medis  ,saya positive corona batch dipertengahan isoman dirumah mau ke rs tapi badan sangat lemah akhirnya saya konsul dan diberikan resep digital halodoc untuk selama saya isoman dokternya sangat care tidak mempersulit pasien walaupun via telemedice tidak bertatap muka langsung alhamdulilah saya kembali sehat dengan tanpa harus mengunjungi rs berebut obat anti virus pilihan tepat dan menyelematkan jiwa saya terimakasih fwd halodoc terus menjadi pelopor dunia medis ,saya positive corona batch dipertengahan isoman dirumah mau ke rumah sakit tapi badan sangat lemah akhirnya saya konsul dan diberikan resep digital halodoc untuk selama saya isoman dokternya sangat care tidak mempersulit pasien walaupun via telemedice tidak bertatap muka langsung alhamdulilah saya kembali sehat dengan tanpa harus mengunjungi rumah sakit berebut obat anti virus pilihan tepat dan menyelematkan jiwa saya terimakasih diterukan halodoc terus menjadi pelopor dunia medis,saya positive corona batch dipertengahan isoman dirumah ke rumah sakit tapi badan sangat lemah akhirnya saya konsul dan diberikan resep digital halodoc untuk selama saya isoman dokternya sangat care tidak mempersulit pasien walaupun telemedice tidak bertatap muka langsung alhamdulilah saya kembali sehat dengan tanpa harus mengunjungi rumah sakit berebut obat anti virus pilihan tepat dan menyelematkan jiwa saya terimakasih diterukan halodoc terus menjadi pelopor dunia medis
Indah Muslicha,5,2022-04-02 22:13:58,"Fast respon sekali,terima kasih halodoc..selalu siaga disaat dbutuhkan..🙏🏻","fast respon sekali,terima kasih halodoc..selalu siaga disaat dbutuhkan..🙏🏻",fast respon sekali terima kasih halodoc  selalu siaga disaat dbutuhkan    ,fast respon sekali terima kasih halodoc selalu siaga disat dbutuhkan ,fast respon sekali terima kasih halodoc selalu siaga disat dbutuhkan,fast respon sekali terima kasih halodoc selalu siaga disat dbutuhkan
Heryanto Welly,5,2022-04-02 20:45:20,Pertanyaan di jawab dengan akurat,pertanyaan di jawab dengan akurat,pertanyaan di jawab dengan akurat,pertanyan di jawab dengan akurat,pertanyan di jawab dengan akurat,pertanyan di jawab dengan akurat
ohoh rizki,5,2022-04-02 16:47:15,sangat membantu. ada dokter yg stanby 24jam,sangat membantu. ada dokter yg stanby 24jam,sangat membantu  ada dokter yg stanby jam,sangat membantu ada dokter yg stanby jam,sangat membantu ada dokter yang stanby jam,sangat membantu ada dokter yang stanby
Fadliyah lia,5,2022-04-02 16:03:51,Suka bgt si punya dokter langganan yg cantik dan baik .. semoga aplikasi terus berkembang dan makin baik .. puaslah,suka bgt si punya dokter langganan yg cantik dan baik .. semoga aplikasi terus berkembang dan makin baik .. puaslah,suka bgt si punya dokter langganan yg cantik dan baik    semoga aplikasi terus berkembang dan makin baik    puaslah,suka bgt si punya dokter langanan yg cantik dan baik semoga aplikasi terus berkembang dan makin baik puaslah,suka banget si punya dokter langanan yang cantik dan baik semoga aplikasi terus berkembang dan makin baik puaslah,suka banget punya dokter langanan yang cantik dan baik semoga aplikasi terus berkembang dan makin baik puaslah
Lusia Uchie,5,2022-04-02 12:20:04,Terimakasih Halodoc. Benar2 membantu kon pun dan dimanapun. Apalg sy yg paling malas antri lama klo ke klinik atw dokter 😁,terimakasih halodoc. benar2 membantu kon pun dan dimanapun. apalg sy yg paling malas antri lama klo ke klinik atw dokter 😁,terimakasih halodoc  benar membantu kon pun dan dimanapun  apalg sy yg paling malas antri lama klo ke klinik atw dokter  ,terimakasih halodoc benar membantu kon pun dan dimanapun apalg sy yg paling malas antri lama klo ke klinik atw dokter ,terimakasih halodoc benar membantu kon pun dan dimanapun apalg saya yang paling malas antri lama kalau ke klinik atw dokter,terimakasih halodoc benar membantu kon dan dimanapun apalg saya yang paling malas antri lama kalau ke klinik dokter
azi Mohamad fauzi,1,2022-04-02 11:51:05,"Sangat lambat menangani komplain, seperti tidak ada tanggung jawabnya.","sangat lambat menangani komplain, seperti tidak ada tanggung jawabnya.",sangat lambat menangani komplain  seperti tidak ada tanggung jawabnya ,sangat lambat menangani komplain seperti tidak ada tangung jawabnya ,sangat lambat menangani komplain seperti tidak ada tangung jawabnya,sangat lambat menangani komplain seperti tidak ada tangung jawabnya
debby yubi,5,2022-04-02 10:16:32,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
tina cintia,1,2022-04-02 08:25:46,"Saldo ilang gtu aja padahal blm transaksi dan chat bantuan disuruh nunggu bberapa jam! Ini kan aplikasi kesehatan yaa harus nya bisa fast respon dan gak ada kendala kaya gini. Mau pesen obat ketika klik bayar malah ""terjadi kesalahan, coba metode pambayaran lain"" dicoba yg lain pun sama yg ada malah saldo di domper ilang gak jelas!!! Minta withdraws saldo ke rekeninh bilang nya gak bisa. Ampun BAD bgt !!!","saldo ilang gtu aja padahal blm transaksi dan chat bantuan disuruh nunggu bberapa jam! ini kan aplikasi kesehatan yaa harus nya bisa fast respon dan gak ada kendala kaya gini. mau pesen obat ketika klik bayar malah ""terjadi kesalahan, coba metode pambayaran lain"" dicoba yg lain pun sama yg ada malah saldo di domper ilang gak jelas!!! minta withdraws saldo ke rekeninh bilang nya gak bisa. ampun bad bgt !!!",saldo ilang gtu aja padahal blm transaksi dan chat bantuan disuruh nunggu bberapa jam  ini kan aplikasi kesehatan yaa harus nya bisa fast respon dan gak ada kendala kaya gini  mau pesen obat ketika klik bayar malah  terjadi kesalahan  coba metode pambayaran lain  dicoba yg lain pun sama yg ada malah saldo di domper ilang gak jelas    minta withdraws saldo ke rekeninh bilang nya gak bisa  ampun bad bgt    ,saldo ilang gtu aja padahal blm transaksi dan chat bantuan disuruh nungu berapa jam ini kan aplikasi kesehatan ya harus nya bisa fast respon dan gak ada kendala kaya gini mau pesen obat ketika klik bayar malah terjadi kesalahan coba metode pambayaran lain dicoba yg lain pun sama yg ada malah saldo di domper ilang gak jelas minta withdraws saldo ke rekeninh bilang nya gak bisa ampun bad bgt ,saldo hilang gtu saja padahal belum transaksi dan chat bantuan disuruh nungu berapa jam ini kan aplikasi kesehatan iya harus nya bisa fast respon dan tidak ada kendala kaya begini mau pesen obat ketika klik bayar bahkan terjadi kesalahan coba metode pambayaran lain dicoba yang lain pun sama yang ada bahkan saldo di domper hilang tidak jelas minta withdraws saldo ke rekeninh bilang nya tidak bisa ampun bad banget,saldo hilang gtu saja padahal belum transaksi dan chat bantuan disuruh nungu berapa ini aplikasi kesehatan harus bisa fast respon dan tidak ada kendala kaya begini pesen obat ketika klik bayar bahkan terjadi kesalahan coba metode pambayaran lain dicoba yang lain sama yang ada bahkan saldo di domper hilang tidak jelas minta withdraws saldo ke rekeninh bilang tidak bisa ampun bad banget
Dewi Madrais,5,2022-04-02 07:13:43,"Aplikasi ini sangat membantu ,, Terima kasih Halodoc 🙏","aplikasi ini sangat membantu ,, terima kasih halodoc 🙏",aplikasi ini sangat membantu    terima kasih halodoc  ,aplikasi ini sangat membantu terima kasih halodoc ,aplikasi ini sangat membantu terima kasih halodoc,aplikasi ini sangat membantu terima kasih halodoc
Zahir Adnan,5,2022-04-02 06:38:27,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Hengky Wibowo,5,2022-04-02 05:27:27,Aplikasinya bagus sangat membantu,aplikasinya bagus sangat membantu,aplikasinya bagus sangat membantu,aplikasinya bagus sangat membantu,aplikasinya bagus sangat membantu,aplikasinya bagus sangat membantu
Novie Vee,5,2022-04-02 05:16:22,Ngerasa cepat tertangani dengan keluhan yg d hadapi.. kalo antrian d RS kan bisa pingsan aku.. makasih dok..,ngerasa cepat tertangani dengan keluhan yg d hadapi.. kalo antrian d rs kan bisa pingsan aku.. makasih dok..,ngerasa cepat tertangani dengan keluhan yg hadapi   kalo antrian rs kan bisa pingsan aku   makasih dok  ,ngerasa cepat tertangani dengan keluhan yg hadapi kalo antrian rs kan bisa pingsan aku makasih dok ,ngerasa cepat tertangani dengan keluhan yang hadapi kalau antrian rumah sakit kan bisa pingsan aku terima kasih dok,ngerasa cepat tertangani dengan keluhan yang hadapi kalau antrian rumah sakit bisa pingsan aku terima kasih
Letnan Hans,5,2022-04-02 04:01:41,Lumayan fast respon dan dokter nya baik2,lumayan fast respon dan dokter nya baik2,lumayan fast respon dan dokter nya baik,lumayan fast respon dan dokter nya baik,lumayan fast respon dan dokter nya baik,lumayan fast respon dan dokter baik
Dina Faradila Puspita sari,1,2022-04-02 03:32:00,Penipu dokter psikolog nya Udh buat janjian udh dibayar tapi gabisa konsultasi Cuman mau duit nya doang! Mana lemot bgt lagi proses nya disuruh nunggu Mulu Kalo org udh sekarat disuruh nunggu juga cmn karna dokter gadungan mah udh mati tuh org!,penipu dokter psikolog nya udh buat janjian udh dibayar tapi gabisa konsultasi cuman mau duit nya doang! mana lemot bgt lagi proses nya disuruh nunggu mulu kalo org udh sekarat disuruh nunggu juga cmn karna dokter gadungan mah udh mati tuh org!,penipu dokter psikolog nya udh buat janjian udh dibayar tapi gabisa konsultasi cuman mau duit nya doang  mana lemot bgt lagi proses nya disuruh nunggu mulu kalo org udh sekarat disuruh nunggu juga cmn karna dokter gadungan mah udh mati tuh org ,penipu dokter psikolog nya udh buat janjian udh dibayar tapi gabisa konsultasi cuman mau duit nya doang mana lemot bgt lagi proses nya disuruh nungu mulu kalo org udh sekarat disuruh nungu juga cmn karna dokter gadungan mah udh mati tuh org ,penipu dokter psikolog nya sudah buat janjian sudah dibayar tapi tidak bisa konsultasi cuma mau uang nya saja mana lambat banget lagi proses nya disuruh nungu melulu kalau orang sudah sekarat disuruh nungu juga hanya karena dokter gadungan mah sudah mati itu orang,penipu dokter psikolog sudah buat janjian sudah dibayar tapi tidak bisa konsultasi cuma uang saja mana lambat banget lagi proses disuruh nungu melulu kalau orang sudah sekarat disuruh nungu juga hanya karena dokter gadungan sudah mati itu orang
Reynaldi Effendi,5,2022-04-02 02:11:46,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Donna Makdon,5,2022-04-02 02:09:20,Dokternya fast response dan mostly obat yang diresepkan manjur semua..,dokternya fast response dan mostly obat yang diresepkan manjur semua..,dokternya fast response dan mostly obat yang diresepkan manjur semua  ,dokternya fast response dan mostly obat yang diresepkan manjur semua ,dokternya fast response dan mostly obat yang diresepkan manjur semua,dokternya fast response dan mostly obat yang diresepkan manjur semua
Julius Siwalette,4,2022-04-01 20:11:58,"Pelayanan kesehatan yang bermanfaat (mudah, cepat, effektif dan effisien) bagi seluruh lapisan masyarakat","pelayanan kesehatan yang bermanfaat (mudah, cepat, effektif dan effisien) bagi seluruh lapisan masyarakat",pelayanan kesehatan yang bermanfaat  mudah  cepat  effektif dan effisien  bagi seluruh lapisan masyarakat,pelayanan kesehatan yang bermanfat mudah cepat efektif dan efisien bagi seluruh lapisan masyarakat,pelayanan kesehatan yang bermanfat mudah cepat efektif dan efisien bagi seluruh lapisan masyarakat,pelayanan kesehatan yang bermanfat mudah cepat efektif dan efisien bagi seluruh lapisan masyarakat
Bisnis Era 2021,5,2022-04-01 12:16:13,"Dokternya komunikatif, cukup jelas memberikan jawaban dan meresepkan obat.","dokternya komunikatif, cukup jelas memberikan jawaban dan meresepkan obat.",dokternya komunikatif  cukup jelas memberikan jawaban dan meresepkan obat ,dokternya komunikatif cukup jelas memberikan jawaban dan meresepkan obat ,dokternya komunikatif cukup jelas memberikan jawaban dan meresepkan obat,dokternya komunikatif cukup jelas memberikan jawaban dan meresepkan obat
Adi & Hanna,4,2022-04-01 10:52:43,Plis dong ada metode pembayaran dengan shopeepay juga kak ...,plis dong ada metode pembayaran dengan shopeepay juga kak ...,plis dong ada metode pembayaran dengan shopeepay juga kak    ,plis dong ada metode pembayaran dengan shopepay juga kak ,plis dong ada metode pembayaran dengan shopepay juga kak,plis dong ada metode pembayaran dengan shopepay juga kak
Delta Wijaksana,4,2022-04-01 10:15:35,Konsultasi dengan dokter nya enak dan penjelasan mengenai obat obatan nya sangat baik . Terimakasih,konsultasi dengan dokter nya enak dan penjelasan mengenai obat obatan nya sangat baik . terimakasih,konsultasi dengan dokter nya enak dan penjelasan mengenai obat obatan nya sangat baik   terimakasih,konsultasi dengan dokter nya enak dan penjelasan mengenai obat obatan nya sangat baik terimakasih,konsultasi dengan dokter nya enak dan penjelasan mengenai obat obatan nya sangat baik terimakasih,konsultasi dengan dokter enak dan penjelasan mengenai obat obatan sangat baik terimakasih
Rahma Aulia,5,2022-04-01 09:46:27,"Bagussss bgttt, sangat membantu","bagussss bgttt, sangat membantu",bagussss bgttt  sangat membantu,bagus bgt sangat membantu,bagus banget sangat membantu,bagus banget sangat membantu
rejeki hamastuti,5,2022-04-01 06:51:01,Penjelasan dokter sangat jelas sekali,penjelasan dokter sangat jelas sekali,penjelasan dokter sangat jelas sekali,penjelasan dokter sangat jelas sekali,penjelasan dokter sangat jelas sekali,penjelasan dokter sangat jelas sekali
Aidha Fadliyah Tuarita,5,2022-04-01 05:08:15,dokternya ramah,dokternya ramah,dokternya ramah,dokternya ramah,dokternya ramah,dokternya ramah
Ratu Crita,1,2022-04-01 02:51:45,"Saya tdk mendapat respon yg baik dri dokter. Saya jg disuruh puasa pdhl dokter blm menannyakan agama saya. Sangat menyayangkan memakai aplikasi ini, saya sdh lapor kendala saya lewat email dan katanya gk da masalah. Saya kecewa","saya tdk mendapat respon yg baik dri dokter. saya jg disuruh puasa pdhl dokter blm menannyakan agama saya. sangat menyayangkan memakai aplikasi ini, saya sdh lapor kendala saya lewat email dan katanya gk da masalah. saya kecewa",saya tdk mendapat respon yg baik dri dokter  saya jg disuruh puasa pdhl dokter blm menannyakan agama saya  sangat menyayangkan memakai aplikasi ini  saya sdh lapor kendala saya lewat email dan katanya gk da masalah  saya kecewa,saya tdk mendapat respon yg baik dri dokter saya jg disuruh puasa pdhl dokter blm menanyakan agama saya sangat menyayangkan memakai aplikasi ini saya sdh lapor kendala saya lewat email dan katanya gk da masalah saya kecewa,saya tidak mendapat respon yang baik dari dokter saya juga disuruh puasa padahal dokter belum menanyakan agama saya sangat menyayangkan memakai aplikasi ini saya sudah lapor kendala saya lewat email dan katanya tidak da masalah saya kecewa,saya tidak mendapat respon yang baik dari dokter saya juga disuruh puasa padahal dokter belum menanyakan agama saya sangat menyayangkan memakai aplikasi ini saya sudah lapor kendala saya lewat email dan katanya tidak da masalah saya kecewa
Achil Thea,5,2022-04-01 01:08:32,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Bu Lyla,5,2022-03-31 21:12:08,"Memudahkan utk konsul ke dokter,tanpa ribet","memudahkan utk konsul ke dokter,tanpa ribet",memudahkan utk konsul ke dokter tanpa ribet,memudahkan utk konsul ke dokter tanpa ribet,memudahkan untuk konsul ke dokter tanpa ribet,memudahkan untuk konsul ke dokter tanpa ribet
diana Chrisseptiany,5,2022-03-31 14:45:33,Dokter nya ramah baik sekali 😍,dokter nya ramah baik sekali 😍,dokter nya ramah baik sekali  ,dokter nya ramah baik sekali ,dokter nya ramah baik sekali,dokter ramah baik sekali
Jingga Farida,5,2022-03-31 13:47:34,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Rizqioktavia Ningrum,5,2022-03-31 12:40:30,Goodd dokter online,goodd dokter online,goodd dokter online,god dokter online,god dokter online,god dokter online
Dani aquafresca,5,2022-03-31 11:16:21,App sangat membantu sekali,app sangat membantu sekali,app sangat membantu sekali,ap sangat membantu sekali,apa sangat membantu sekali,apa sangat membantu sekali
Reikha Habibah,4,2022-03-31 09:08:03,Cukup membantu dan ramah dokternya,cukup membantu dan ramah dokternya,cukup membantu dan ramah dokternya,cukup membantu dan ramah dokternya,cukup membantu dan ramah dokternya,cukup membantu dan ramah dokternya
Mawardi Sya'ban,5,2022-03-31 06:36:09,msh pemula next liat nanti klo sering pakai efek nya gimana .. soalnya tiap dokter ga semua sama dalam memberikan solusi .. semoga aman2 aja .. 😊🙏🏻,msh pemula next liat nanti klo sering pakai efek nya gimana .. soalnya tiap dokter ga semua sama dalam memberikan solusi .. semoga aman2 aja .. 😊🙏🏻,msh pemula next liat nanti klo sering pakai efek nya gimana    soalnya tiap dokter ga semua sama dalam memberikan solusi    semoga aman aja       ,msh pemula next liat nanti klo sering pakai efek nya gimana soalnya tiap dokter ga semua sama dalam memberikan solusi semoga aman aja ,masih pemula lanjut lihat nanti kalau sering pakai efek nya bagaimana soalnya tiap dokter tidak semua sama dalam memberikan solusi semoga aman saja,masih pemula lanjut lihat nanti kalau sering pakai efek bagaimana soalnya tiap dokter tidak semua sama dalam memberikan solusi semoga aman saja
reviani dewi,5,2022-03-31 06:13:56,"Bagus sangat membantu, terutama fitur chat dengan dokter bisa jadi solusi yang tepat apabila sibuk namun ingin mengetahui kondisi kesehatan","bagus sangat membantu, terutama fitur chat dengan dokter bisa jadi solusi yang tepat apabila sibuk namun ingin mengetahui kondisi kesehatan",bagus sangat membantu  terutama fitur chat dengan dokter bisa jadi solusi yang tepat apabila sibuk namun ingin mengetahui kondisi kesehatan,bagus sangat membantu terutama fitur chat dengan dokter bisa jadi solusi yang tepat apabila sibuk namun ingin mengetahui kondisi kesehatan,bagus sangat membantu terutama fitur chat dengan dokter bisa jadi solusi yang tepat apabila sibuk namun ingin mengetahui kondisi kesehatan,bagus sangat membantu terutama fitur chat dengan dokter bisa jadi solusi yang tepat apabila sibuk namun ingin mengetahui kondisi kesehatan
achmad hermansyah,5,2022-03-31 05:52:21,Alhamdulillah cepet terlayani dan mudah mendapatkan resepnya,alhamdulillah cepet terlayani dan mudah mendapatkan resepnya,alhamdulillah cepet terlayani dan mudah mendapatkan resepnya,alhamdulilah cepet terlayani dan mudah mendapatkan resepnya,alhamdulilah cepat terlayani dan mudah mendapatkan resepnya,alhamdulilah cepat terlayani dan mudah mendapatkan resepnya
nofa ristanto,1,2022-03-31 04:48:51,"Hari ini 31 Maret 2022 ada janjian jam 09.00 WIB di RS Bhayangkara DIY untuk vaksin booster, sampai RS jam 08.40 WIB.. Sampai sana ambil kartu antrean sama kayak peserta vaksin yg gak pakai halodoc (peserta vaksin umum), syarat juga sama cuma FC KTP, aku baru ditangani jam 10.45 sesuai nomor antrean.. Jadi gak guna atur jadwal ketemu, mending berangkat jam 7 pagi juga pasti tertangani.. Ada penjelasan?","hari ini 31 maret 2022 ada janjian jam 09.00 wib di rs bhayangkara diy untuk vaksin booster, sampai rs jam 08.40 wib.. sampai sana ambil kartu antrean sama kayak peserta vaksin yg gak pakai halodoc (peserta vaksin umum), syarat juga sama cuma fc ktp, aku baru ditangani jam 10.45 sesuai nomor antrean.. jadi gak guna atur jadwal ketemu, mending berangkat jam 7 pagi juga pasti tertangani.. ada penjelasan?",hari ini maret ada janjian jam   wib di rs bhayangkara diy untuk vaksin booster  sampai rs jam   wib   sampai sana ambil kartu antrean sama kayak peserta vaksin yg gak pakai halodoc  peserta vaksin umum   syarat juga sama cuma fc ktp  aku baru ditangani jam   sesuai nomor antrean   jadi gak guna atur jadwal ketemu  mending berangkat jam pagi juga pasti tertangani   ada penjelasan ,hari ini maret ada janjian jam wib di rs bhayangkara diy untuk vaksin boster sampai rs jam wib sampai sana ambil kartu antrean sama kayak peserta vaksin yg gak pakai halodoc peserta vaksin umum syarat juga sama cuma fc ktp aku baru ditangani jam sesuai nomor antrean jadi gak guna atur jadwal ketemu mending berangkat jam pagi juga pasti tertangani ada penjelasan ,hari ini maret ada janjian jam wib di rumah sakit bhayangkara diy untuk vaksin boster sampai rumah sakit jam wib sampai sana ambil kartu antrean sama kayak peserta vaksin yang tidak pakai halodoc peserta vaksin umum syarat juga sama cuma fc ktp aku baru ditangani jam sesuai nomor antrean jadi tidak guna atur jadwal ketemu lebih baik berangkat jam pagi juga pasti tertangani ada penjelasan,hari ini maret ada janjian di rumah sakit bhayangkara diy untuk vaksin boster sampai rumah sakit sampai sana ambil kartu antrean sama kayak peserta vaksin yang tidak pakai halodoc peserta vaksin umum syarat juga sama cuma ktp aku baru ditangani sesuai nomor antrean jadi tidak guna atur jadwal ketemu lebih baik berangkat pagi juga pasti tertangani ada penjelasan
Kezia Claudi Priscilla,5,2022-03-31 04:44:00,So helping. Buat aku yg dikit2 sakit harus ke dokter tapi takut ke RS grgr pandemi.,so helping. buat aku yg dikit2 sakit harus ke dokter tapi takut ke rs grgr pandemi.,so helping  buat aku yg dikit sakit harus ke dokter tapi takut ke rs grgr pandemi ,so helping buat aku yg dikit sakit harus ke dokter tapi takut ke rs grgr pandemi ,so helping buat aku yang dikit sakit harus ke dokter tapi takut ke rumah sakit grgr pandemi,so helping buat aku yang dikit sakit harus ke dokter tapi takut ke rumah sakit grgr pandemi
Rahmah Wati,5,2022-03-31 04:05:16,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Nur Azizah,5,2022-03-31 03:56:33,"Sangat membantu sekali, best","sangat membantu sekali, best",sangat membantu sekali  best,sangat membantu sekali best,sangat membantu sekali best,sangat membantu sekali best
Sarah Ramadhani,1,2022-03-31 03:53:41,udh daftar vaksin booster lewat halodoc. pas sampe tkp nomor antrian habis-_-. ga guna booking lewat halodocnya udh jauh2,udh daftar vaksin booster lewat halodoc. pas sampe tkp nomor antrian habis-_-. ga guna booking lewat halodocnya udh jauh2,udh daftar vaksin booster lewat halodoc  pas sampe tkp nomor antrian habis    ga guna booking lewat halodocnya udh jauh,udh daftar vaksin boster lewat halodoc pas sampe tkp nomor antrian habis ga guna boking lewat halodocnya udh jauh,sudah daftar vaksin boster lewat halodoc pas sampai tkp nomor antrian habis tidak guna boking lewat halodocnya sudah jauh,sudah daftar vaksin boster lewat halodoc sampai nomor antrian habis tidak guna boking lewat halodocnya sudah jauh
Jumardi MT,5,2022-03-31 00:33:04,Praktis dan Bermanfaat,praktis dan bermanfaat,praktis dan bermanfaat,praktis dan bermanfat,praktis dan bermanfat,praktis dan bermanfat
Dede Kurniawan,5,2022-03-30 23:32:00,Sangat bermanfaat,sangat bermanfaat,sangat bermanfaat,sangat bermanfat,sangat bermanfat,sangat bermanfat
dr. Afrina AP,2,2022-03-30 22:48:45,"Sudah 2 kali pakai aplikasi ini untuk berobat, dokternya bagus bagus chat dibalas walaupun terkadang harus nunggu karena bersamaan dengan pasien lain..cuman harga obatnya jauh lebih mahal dari harga jual tertinggi /tulisan harga yang tertera di obat..bila ada opsi bisa memilih membeli obat langsung di apotik..terima kasih","sudah 2 kali pakai aplikasi ini untuk berobat, dokternya bagus bagus chat dibalas walaupun terkadang harus nunggu karena bersamaan dengan pasien lain..cuman harga obatnya jauh lebih mahal dari harga jual tertinggi /tulisan harga yang tertera di obat..bila ada opsi bisa memilih membeli obat langsung di apotik..terima kasih",sudah kali pakai aplikasi ini untuk berobat  dokternya bagus bagus chat dibalas walaupun terkadang harus nunggu karena bersamaan dengan pasien lain  cuman harga obatnya jauh lebih mahal dari harga jual tertinggi  tulisan harga yang tertera di obat  bila ada opsi bisa memilih membeli obat langsung di apotik  terima kasih,sudah kali pakai aplikasi ini untuk berobat dokternya bagus bagus chat dibalas walaupun terkadang harus nungu karena bersaman dengan pasien lain cuman harga obatnya jauh lebih mahal dari harga jual tertingi tulisan harga yang tertera di obat bila ada opsi bisa memilih membeli obat langsung di apotik terima kasih,sudah kali pakai aplikasi ini untuk berobat dokternya bagus bagus chat dibalas walaupun terkadang harus nungu karena bersaman dengan pasien lain cuma harga obatnya jauh lebih mahal dari harga jual tertingi tulisan harga yang tertera di obat bila ada opsi bisa memilih membeli obat langsung di apotik terima kasih,sudah kali pakai aplikasi ini untuk berobat dokternya bagus bagus chat dibalas walaupun terkadang harus nungu karena bersaman dengan pasien lain cuma harga obatnya jauh lebih mahal dari harga jual tertingi tulisan harga yang tertera di obat bila ada opsi bisa memilih membeli obat langsung di apotik terima kasih
