Remove_noise,sentimen,sentimen_negatif,sentimen_netral,sentimen_positif
masyalah aplikasi yang sangat membantu dokternya ramah sekali semoga selalu diberi kesehatan buat para garda terdepan,positif,0,0,1
sangat baik dan luar biasa informasinya,positif,0,0,1
bagus apknya jadi tidak khawatir tetang penyakit dan menambah pengetahuan juga,netral,0,1,0
terimakasih untuk dokter yang sudah membantu saya dalam sesi konsultasi aplikasi ini sangat berguna,positif,0,0,1
aplikasi bagus tidak diberi pertanyan otomatis nyaman sat berkonsultasi,netral,0,1,0
keren banget aplikasinya tidak nyesel downloadnya sukses terus halodoc,negatif,1,0,0
kalau konsultasi dengan dokter jadi lebih mudah bisa dimanapun tanpa harus keluar rumah terima kasih halodoc,positif,0,0,1
saya terbantu sekali dengan aplikasi ini di masa pandemi seperti ini di sat kita harus menjaga jarak tidak perlu kluar rumah tingal chat halodoc semua masalah teratasi,negatif,1,0,0
memudahkan banget respon cepat obat gampang didapat,positif,0,0,1
thankyou banget buat dari ferdinandus dan khususnya buat aplikasi halodoc benar benar membantu buat saya terutama yang mager periksa langsung ke rumah sakit di masa takut corona new normal ini love love halodoc,netral,0,1,0
saya bisa jadi enak pakai aplikasi ini tidak ribet ribet lagi kalau ke dokter tingal donlowd aplikasi ini bagus,negatif,1,0,0
baru coba uplikasi cukup ramah dan jelas pencerhan para dokter trimakasih halodoc,positif,0,0,1
bagus dan pengiriman obat cepat,negatif,1,0,0
aplikasi bagus selesai konsultasi diberi resep dan langsung terhubung dengan apotik terdekat untuk delivery obatnya sangat membantu,positif,0,0,1
saya sangat terbantu dengan aplikasi ini apalagi dengan keadan covid sekarang dokter yang melayani sangat ramah dan tidak bosan dgan pertanyan dari pasienya,negatif,1,0,0
sudah di respon dicoba langsung bisa semoga pelayanan dan hal lain di aplikasi halodoc ini bisa lancar bikin nyaman amin terimakasih responya kak,positif,0,0,1
respon dokter cepat dan ramah terima kasih,positif,0,0,1
cepat responya meskipun pagi tetap memberikan pelayanan luar biasa halodoc terima kasih,positif,0,0,1
sangat membantu sekali saya sudah sering pakai halodoc sampai tebus obat juga dokternya ramah berbeda dari aplikasi lain walaupun ada yang gratis tapi pelayananya tetap sama tidak dibedakan yang gratis atau bayar langsung ditanya oleh dokternya seperti kita bertatap muka,positif,0,0,1
lumayan membantu walaupun responya lama ketika konsultasi kesehatan,positif,0,0,1
mantap singkat nd cepat penangananya moga cocok nd bisa sembuh terima kasih halodoc,positif,0,0,1
kenapa download aplikasinya susah sekali muter terus padahal sinyal bagus dan kuota juga ada sudah berjam tapi tep muter muter saja tidak ke download,negatif,1,0,0
aplikasi ini itu bagus dokternya baik dan penyabar pokoknya aplikasi ini the best,negatif,1,0,0
sangat membantu sekali dimana pandemi tidak bisa keluar tapi masih bisa konsultasi dengan dokter yang luar biasa membantu,negatif,1,0,0
sangat membantu dokter resopon cepat,positif,0,0,1
pengiriman selalu cepat dan jika ada masalah respon juga cepat,netral,0,1,0
pengalaman pertama mengunakan halodoc sangat memuaskan disat pandemi seperti sat ini sangat sangat membantu terima kasih ksih halodoc,positif,0,0,1
baik dan membantu sesi informasi kesehatan,positif,0,0,1
pengalaman pertama pakai apk ini alhamdulilah baik dokternya penjelasanya juga mudah di mengerti terimakasih,positif,0,0,1
sangat membantu dokternya juga rumah terimakasih halodoc,positif,0,0,1
sangat membantu dalam berkonsultasi respon juga cepat,positif,0,0,1
pelayanan baik pertanyan konsultasi cepat di jawab oleh dokter suka sekali dengan aplikasi ini,positif,0,0,1
sangat ramah dan sangat membantu segala keluhan saya mkasih,positif,0,0,1
bagus aplikasinya sangat membantu sekali untuk berkonsultasi dengan dokter langsung tanpa harus pergi keluar rumah,positif,0,0,1
apk ini sangat membantu saya banyak dokter umum dan spesialis juga penjelasanya bisa dimengerti dengan mudah terimakasih,positif,0,0,1
sangat membantu sekali ditengah pademi covid,positif,0,0,1
pelayanan dokter dalam menangapi pasien cepat dan ramah semoga membantu,positif,0,0,1
respon dokter bagus cepat dan konsisten,positif,0,0,1
tolong diperbaiki lagi filter dokter terdekatnya lokasi saya di bogor sat saya mencari di dokter terdekat yang nongol bahkan kebanyakan dari daerah jawa tengah dan jawa timur,negatif,1,0,0
saya sangat senang dengan aplks ini dikrnakan dapat membantu semua orang terlbih yang bingung dngan sakitnya apa bisa diutarakn disini dan dicari solusinya dibantu para yang ramah yang sabar dan memberitahukan dengan detail tentang riwayat sakit yang kta alami pokoknya doa terbaik untuk para yang baik hati,netral,0,1,0
dokter ramah sekali dan membalas chat dengan cepat jelas dan juga mudah di mengerti terimakasih halodoc tidak nyesel download aplikasi ini,positif,0,0,1
sangat membantu sekali ketika tidak bisa keluar rumah untuk berobat obat bisa di antar ke rumah dan biayanya cukup terjangkau terimakasih halodoc,netral,0,1,0
mengecewakan saya sudah bayar pakai gopay saldo terpotong untuk dokter paru dokter juga aktif tapi chat tidak tersambung saya sruh chat dengan dokter lain tapi setelah chat saldo gopay kepotong lagi padahal chat yang pertma tidak tersambung tapi tetep motong saldo saya chat bayar kenapa pelayanan buruk sekali,negatif,1,0,0
responya cepat dokternya baik dan ramah terimakasih,positif,0,0,1
pelayanan sangat baik dokter juga baik ramah,positif,0,0,1
aplikasinya bagus balas san cepat dan padat,positif,0,0,1
seneng banget dengan aplikasi ini membantu sekali untuk mengetahui solusi masalah kesehatan kita respon juga cpet banget pokokny aplikasi yang wajib dimiliki,negatif,1,0,0
terima kasih halodoc jawaban dan saranya cukup memuaskan,positif,0,0,1
untuk pembelian obatan di kota besar sangat bagus dan membantu aplikasi ini coba di perluas ke daerah untuk kemudahan pembelian obatan terima kasih,positif,0,0,1
baru pertama kali mengunakan apk ini saya sudah suka kita tidak susah lagi untuk bertanya seputar kesehatan ini sangat membantu sekali semoga bisa lebih baik lagi kedepanya,netral,0,1,0
aplikasi ini sangat membantu sayang terimakasih halo doc dan juga dari eneke,positif,0,0,1
sangat memuaskan dan dokternya sangat ramah dan baik sekali penjelasan sangat mudah di mengerti dan dokter memberi saran yang harus kita lakukan itu sangat membantu saya,positif,0,0,1
untuk pembayaran dipermudah lagi karena semua puny apk gojek bisa dtmbh virtual ac tf rek biasa untuk mpermudah lainya oke,negatif,1,0,0
puas dengan layanan halodoc tapi harganya jangan mahal untuk dokter spesialisnya kasian orang yang kurang mampu tanya kendala diharga,negatif,1,0,0
sering konsul dengan berapa dokter spesialis alhamdulilah dengan kondisi seperti ini sangat membatu sekali respon cepat dan ramah,positif,0,0,1
sering dengarkan iklan halodoc yang sangat pada itu saya tidak instal aplikasi kamu kamu anjing bisa ada di hp saya bangsat,negatif,1,0,0
sangat membantu memberikan informasi mengenai kesehatan,positif,0,0,1
sangat membantu sekali untuk mengetahui penyakit ringan,positif,0,0,1
sangat puas dokter juga sangat ramah penjelasan sangat detil mkasih banget dokter mksih banyak halodoc aplikasi ini sangat mbantu mkasi,positif,0,0,1
dokternya ramah ramah banget apalagi dokter psikolognya friendly banget jadi kalau cerita masalahnya bakal ditangepin dengan bahasa yang ningkatin diri banget istilahnya jadi modboster tertawa terus kalau sudah bilang keluhan ini itu pasti nanti ada obatnya begitu jadi tingal beli saja bisa lewat apa halodoc gampang banget praktis tapi sayangnya kalau chat dokternya itu kadang harus bayar yaudahsi selebihnya baguslah terimakasih halodoc,positif,0,0,1
aplikasi ini sangat membantu respon dokter cepat dan mendetail,positif,0,0,1
aplikasiny sangat membantu saya dalam maslah kesehatan saya penguna baru tapi untk awalnya saja sudah sangat bagus dokter siap memberikan penjelasan mengenai setiap masalah pasien dokternya juga sangt ramah saya merekomendasikan aplikasi ini untk dingunakan banyak orang yang tentunya sangat bermanfat sukses selalu terima kasih,positif,0,0,1
matap dokternya simpel padat jelas aplikasi sangat membantu,positif,0,0,1
ada layanan yang sangat membantu ada yang tidak membantu sama sekali imbanglah tapi bagus apk semoga akan semakin maju lagi kedepanya,positif,0,0,1
aplikasi ini sangat membantu penjelasan sangat baik dan mudah di mengerti terima kasih halodocter,positif,0,0,1
aplikasi ini sangat membantu di sat saya takut untuk kerumah sakit pada sat pandemi ini tapi karena halodoc saya bisa tahu penyakit saya lebih jelas loved,negatif,1,0,0
sangat membantu ketika kita berada di manapun dan menjadi lebih tahu tindakan apa yang harus kita lakukan,positif,0,0,1
terimakasih halodoc dengan adanya apl ini sangat membantu banget saya bisa konsul dan berbicara langsung dengan dokter di tambah lagi dokternya sangat ramah dan sopan,positif,0,0,1
saya baru pertama kali chat dengan dokter di halodoc ini langsung di respon oleh dokter dengan cepat pertanyan saya terima kasih kasih,positif,0,0,1
pertama kalinya pakai aplikasi ini dan keren sangat membantu untuk konsultasi terimakasih halodoc,positif,0,0,1
pelayananya sangat bagus dan ramah,positif,0,0,1
semoga selalu sukses aplikasinya dan semakin ditingkatkan kualitasnya,positif,0,0,1
benar benar bagus aplikasinya dokternya ramah apalagi dari diecy zevrianty saranya membantu dan penjelasanya mudah dimengerti aplikasi gud,positif,0,0,1
halodoc bisa lebih mempermudah kita untuk konsultasi dengan dokter ahlinya terimakasih,positif,0,0,1
keren banget respon dokter cepat dan tangap ramah dan seru,positif,0,0,1
benar bermanfat bngt apk ini pertanyan saya di jawab dengan maksimal alhamdulilah trimakasih banyak halodoc,positif,0,0,1
jawaban konsul cepat dan akurat terima kasih sangat membantu,positif,0,0,1
keren baru kali ini pakai aplikasi chat dengan dokter tanpa harus bertemu langsung fre pula dokter yang ramah menjwb setiap pertanyan dan keluhan dengan sabar terima kasih halodoc,positif,0,0,1
bagus pelayanan juga cepat sangat membantu berobat daru rumah nyaman sekali,positif,0,0,1
dokternya cepat merespon bisa aman sat keadan darurat resep obat sementara dari dokter juga cocok aplikasi ini sangat cocok digunakan sat pandemi covid,netral,0,1,0
dokternya ramah dan baik respon cepat terimakasih,positif,0,0,1
nich aplikasi dokternya ramah dan baik jadi tidak perlu keluar rumah dimusim pandemi covid ini,negatif,1,0,0
sangat mengecewakan rapid test tangal tn achmad hasil tidak kunjung keluar juga sampai detik ini menghubungi halodoc baik tlfn maupun chat hanya diminta untuk menungu padahal janjinya maksimal hari dari jadwal rapid saya rugi banyak hal untuk ini terutama dari biaya dan waktu tolong tangung jawab untuk layananya kenyamanan pasien diutamakan dan ternyata tidak hanya saya yang mengalami hal seperti ini sangat mengecewakan,negatif,1,0,0
sangat membantu dan ramah sekali dokternya,positif,0,0,1
saya sangat suka aplikasi ini dokter ramah lope you halodoc,positif,0,0,1
respon cepat bahasa baik dan sangat memuaskan,positif,0,0,1
responya sangat cepat dan membantu kami sekali terima kasih halodoc,positif,0,0,1
aplikasi sangat membantu untuk kesehatan terutama untuk tes covid,positif,0,0,1
alhamdulilah dengan halodoc keluhan saya tentang penyakit saya teratasi terima kasih banyak buat para dokter yang meluangkan waktunya untuk membantu menangani masalah dalam semoga jaya terus,positif,0,0,1
sangat membantu bagi orang tua yang lagi bingung mencari solusi kesembuhan anaknya dengan adanya halodoc dokter semuanya mudah trimakasih,netral,0,1,0
bagus juga aplikasinya sangat membantu tapi saya tidak bisa cek harga obat yang di rekomendasikanya,negatif,1,0,0
drg felice cepat tngap dan baik smoga semua dokter berikutya sama,positif,0,0,1
sangat membantu saya dan keluarga apalagi dimasa pandemi seperti ini,netral,0,1,0
cukup puas dengan playan dalam menjawab pertanyan simple dan jlas,positif,0,0,1
sangat membantu sat pandemi sprt ini cukup konsul di halodoc sudah bisa dapat obat dan konsultasi dengan dokter top,positif,0,0,1
aplikasi yang sangat membantu di sat covid ini tanpa harus bertatap muka secara langsung dan terdapat banyak dokter spesialisnya juga,negatif,1,0,0
butuh cepat tidak perlu lama segalanya jadi mudah,negatif,1,0,0
dokternya ramah aplikasinya bagus dan mempermudah kami,positif,0,0,1
dokter ramah dan sabar mendengarkan keluhan pasien dan juga keterangan yang diberikan sangat membantu terimakasih,positif,0,0,1
saya baru pertama kali pakai aplikasi ini tapi gagal menghubungkan chat ke dokter yang saya inginkan karena dokternya sedang sibuk padahal di aplikasi ready saya sudah bayar kecewa saya,negatif,1,0,0
mantap respon cepat dan mudah di pahami,positif,0,0,1
apa kesehatan yang bagus saya bisa konsul juga dapat resep yang efektif sat itu juga sukses terus dan kembangkan terus apa halodoc,negatif,1,0,0
halodoc sangat membantu apalagi dimasa pandemi seperti ini dokter juga fast respon walaupun konsul malam terima kasih,positif,0,0,1
sangat memuaskan dokter juga sangat baik dan ramah balas chat dokter yang cepat saya sudah buktikan,positif,0,0,1
dokter ramah dan penjelasnya mudah dimengerti,positif,0,0,1
aplikasi yang sangat membanti terlebih di sat seperti sekarang ini sukses selalu dan tingkatkan terus fitur dan fasilitas aplikasinya,netral,0,1,0
sangat recomended banget adanya aplikasi ini sangat membantu sekali,positif,0,0,1
sangat membantu sekali aplikasi ini pertanyan di jawab dokternya dengan cepat terima kasih dokter,positif,0,0,1
sangat kecewa dengan pelayananya saya melaksanakan tes dengan teman saya pagi teman saya sudah keluar hasil tes sore hari sedangkan saya dan teman saya harus menungu lebih dari padahal nomer urut antrian jelas saya paling depan dengan teman saya apakah memang hasilnya tidak bisa sesuai waktu,negatif,1,0,0
apkikasi ini sangat membantu kita bisa konsultasi dengan dokter yang berpengalaman tanpa harus jauh kerumah sakit dan mengantri terimakasih,netral,0,1,0
aplikasi ok cuma agar fast response ketika ada pertanyan terkait layanan dan benefit dari asuransi,negatif,1,0,0
respon doktet cepat dan ramah,positif,0,0,1
terima kasih atas penjelasanya sangat membantu saya dan ramah banget selama konsultasi pastikan pakai aplikasi halodoc untuk kesehatanmu orang terkasih,positif,0,0,1
sangat membantu real dari docter berpengalaman tanpa kenal waktu tetap dilayani dan dibantu sampai menemukan solusi terbaik,positif,0,0,1
pelayanan yang sangat memuaskan dan terpercaya akurat,positif,0,0,1
gila juara banget ini aplikasi penolong disat tengah malam kayak begini alergi lagi kumat dokter cepat dan sigap banget jelasin resep juga jelas dan paling enak lagi langsung bisa dipesen by gojek pokoknya best,negatif,1,0,0
sangat membantu apa lagi di sat pandemi corona berlangsung sekarang kita tidak perlu tkt kluar rumah untk tes covid,negatif,1,0,0
puas banget cepat pelayananya aplikasi gampang,positif,0,0,1
mudah praktis dan bisa di gunakan dimana saja,positif,0,0,1
lumayan bagus hanya saja pemberitahuanya kurang akurat sat pemberitahuanya obat terkirim tapi actualnya belum diterima obatnya ditelepon kurirnya pengantar tapi responya lambat ditakutkan saldo terpotong tapi barang tidak diterima mohon ketegasan lagi tapi setelah berkali kali saya hubungi baru direspon oleh pengantar,negatif,1,0,0
sangat membantu karena jujur saya adalah orang awam yang tidak selalu faham akan dunia kesehatan dan dengan adanya apa ini sangat membantu dengan layanan konsultasi ambil obat dan sebagainya terima kasih halodoc semoga kedepanya makin diperbaharui,positif,0,0,1
saya rapid test di rumah sakit omni pekayon tanggal tapi hasilya ngk keluar sampai hampir tangal padahal untuk kebutuhan penerbangan sangat mengecewakan,negatif,1,0,0
dokternya ramah penjelasanya sangat detail terima kasih,positif,0,0,1
baru pertama coba cepat juga minta sudah smp tapi hrg obat mg atas jika beli online kalau bisa ada potongan tx pesen kedua sebelum konsul dengan dokter andri girsang akhirnya langsung pesen obat cepat tx,positif,0,0,1
aplikasi yang sangat membantu disat kondisi seperti ini terima kasih halodoc,netral,0,1,0
lumayan buat urgent apalagi kondisi tidak memungkinkan untuk tatap muka,netral,0,1,0
ini aplikasi benar tidak sudah proses transaksi sukses semua dan sudah dapat drivernya tapi tiba tiba di cancel infonya pemesanan obat kamu tidak bisa di proses padahal pilihanya sudah bisa semua aneh sebaiknya kalu obat tidak tersedia tidak perlu di muncul di aplikasi sesuatu yang aneh ini,negatif,1,0,0
pelayananya sangat baik sekali saya suka sekali dan sangat membantu sekali terimakasih halodoc,positif,0,0,1
sangat komunikatif dan membantu,positif,0,0,1
perintah awal ketika aplikasi pertama kali dijalankan adalah memasukan nomor telepon tapi saya tidak bisa menginput karena aplikasi tidak berjalan baik jika memang ada ganguan mohon segera diperbaiki saya sedang membutuhkan aplikasi ini tolong jangan mengusulkan saya untuk menghubungi contact service karena bukan saya saja yang tidak bisa menjalankan aplikasi terimakasih,negatif,1,0,0
sangat puas dwngan pelayanan dari dokter nurhayati yang juga ramah tentunya semoga resep dari beliau dapat menyembuhkan saya,positif,0,0,1
konsultasi soal vaksin dengan dokter cukup lancar dan bagus semoga kualitas dan kelancaran pemakaian aplikasi semakin mengkat,positif,0,0,1
sangat terbantu dan praktis konsultasi bisa dari rumah jadi tidak perlu kemana mana obat diantar langsung,positif,0,0,1
sangat memuaskan mengunakan aplikasi ini dokter ramah cepat tangap untuk konsultasi selain itu diberikan resep sama dokternya sukses terus halodoc terimakasih,positif,0,0,1
aplikasi yang sangat amat membantu dokternya ramah informatif dan sabar mejawab setiap keluhan terimakasih halodoc,positif,0,0,1
pengalaman pertama pakai aplikasi ini cukup baik dan membantu sekali terima kasih dokter indonesia terima kasih halo doc,positif,0,0,1
bermangfat sekali dokter bertanya sangat detail saya jadi punya gambaran tentang keluhan yang saya alamai terima kasih halodoc semoga selalu bisa membantu dan memberi solusi untuk pasien pasien,positif,0,0,1
pelayanan ok tampilan ok kelengkapan ok tapi lambat,positif,0,0,1
dokternya sangat ramah respon cepat penjelasan sangat bagus pokonya saya sangat puas,positif,0,0,1
aplikasinya sngat bagus dan dokter sngat baik dan ramah semoga sukses terus halodoc,positif,0,0,1
terima kasih halodoc ini aplikasinya sangat membantu semoga semakin banyak yang mengunakan aplikasi ini dan semakin banyak yang menerima manfat dan kemudahan buat masyarakat yang membutuhkan,positif,0,0,1
baru pertama kali tapi sudah dibikin seneng sama pelayananya dokter ramah melayani dengan baik jika belum puas bertanya dokternya mempersilahkan kembali untuk bertanya terimakasih halodoc,positif,0,0,1
ok informasi penyakit dan penyembuhanya disat genting amat sangat dibutuhkan,positif,0,0,1
tidak membutuhkan waktu lama unk chat direspon,negatif,1,0,0
aplikasi bagus bisa memabantu pembelian obat di sat darurat,negatif,1,0,0
mudah aplikasinya dokternya juga ramah dan detail begitu juga customer service cepat tangap,positif,0,0,1
apk yang mantap dan sangat membantu sekali terima kasih halodoc,positif,0,0,1
dokternya fast respon tidak nyangka langsung dikasi resep setelah jelasin keluhan sangat membantu semoga sukses selalu,positif,0,0,1
aplikasinya bagus semoga resep dokternya cocok dan anak saya bisa sembuh terimakasih halodoc sangat membantu saya,positif,0,0,1
aplikasi yang sangat membantu dokter juga sangat ramah,positif,0,0,1
terima kasih respon cepat singkat dan tepat,positif,0,0,1
kasih bintang saja dulu karena di wilayah baturaja oku belum ada layanan kerja sama dengan apotik lanjut jika sudah ada kerjasama dengan apotik baru dikasih bintang,positif,0,0,1
pengunanya mudah kebetulan nyoba dapat dokter yang ramah,positif,0,0,1
dokternya ramah dan cepat tangap,positif,0,0,1
pertama kali pakai aplikasi halodoc sangt membantu sekali dokter juga ramah sekali terima kasih halodoc,positif,0,0,1
bagus apanya dari awal instal sampek skr buka aplikasi saja tidak bisa selalu ada tulisan ada yang salah silahkan coba lagi selalu seperti itu,negatif,1,0,0
alhamdulilah aplikasinya bermanfat banget bisa membantu kita dengan segala jawaban yang kita tidak tahu,positif,0,0,1
mantaps banget dan sangat membantu sekali rugi kalau tidak download heheheheheh,negatif,1,0,0
sangat membantu untuk konsultasi tanpa harus keluar rumah,positif,0,0,1
aplikasi luar biasa sangat berguna dokternya ramah ramah menjawab semua keluhan saya smoga makin sukses sehat selalu buat kita semua gbu,positif,0,0,1
dokternya baik cepat tangap resepnya juga mudah cari terima kasih,positif,0,0,1
alhamdulilah saya merasa puas dengan aplikasi ini dokternya ramah dan cepat tangap terimakasih dokter sadam husein yang telah meluangkan waktunya untuk saya berkonsultasi dan terimakasih juga untuk halodoc dan team,positif,0,0,1
saya suka banget dokter fast respon untuk menjawab pertayan yang diajukan,netral,0,1,0
aplikasi ini sangat membantu banget dalam hal apapun apa lagi di situasi covid seperti ini tapi sayang bayar cuma bisa pakai gopay atau debit saja harusnya bisa pakai ovo juga itu dulu,negatif,1,0,0
terima kasih untuk gratisanya fast respon dan sangat membantu semoga dokter spesialisnya ada yang gratis juga,positif,0,0,1
baru pertama pakai halodoc tapi kesanya bagus semoga halodoc semakin tambah maju dalam hal pelayanan,positif,0,0,1
terimakasih halodoc sangat membantu dan berkonsultasi dengan mudah,positif,0,0,1
sangat membantu kalau bisa sering gratisin,positif,0,0,1
penjelasanya sangat detail dan terperinci kebetulan konsult yang pertama kali dan tidak ada biaya terimakasoh halodoc,netral,0,1,0
kenapa tidak bisa kirim foto kak padahal apk ini sangat berguna tolong perbaikanya,positif,0,0,1
aplikasi ini sangat membantu saya dalam menanyakan hal tentang penyakit yang kita alami terima kasih halodoc,negatif,1,0,0
sangat membantu dan memudahkan dalam pengetahuan tentang obat,positif,0,0,1
sangat terbantu dengan pelayanan medis di halodoc terima kasih,positif,0,0,1
suka dengan aplikasi ini respon dokter cepat ramah,positif,0,0,1
sangat membantu dan memudahkan dimasa pandemik ini,positif,0,0,1
cukup bagus saran saya kalau bisa durasi waktu konsultasinya ditambah lagi,negatif,1,0,0
sangat sangat terbantu sekali dengan adax aplikasi ini dokterx sangat ramah sl ada yang stay untuk konsul pokox bintang top bngt,positif,0,0,1
terimakasih sangat membantu aplikasi ini tanya cara menghilangkan iklan halodoc setelah aplikasi di hapus bagaimana soalnya mengangu sekali waktu lagi youtuban dan lain lain,negatif,1,0,0
sangat memuaskan dan sangat mbantu brmanfat buat kesehatan,positif,0,0,1
alhamdulilah sangat membantu sekali pelayanan dokternya juga ramah the best pokoknya halodoc,positif,0,0,1
aplikasi yang berguna dan sangat membantu tapi satu saran dari saya mengenai saldo atau pembayaran dan topup tolong bisa melakukan regristrasi dari aplikasi pembayaran lainya semisal ovo dan sejenis mungkin akan sangat membantu fan mempermudah terimakasih semoga di tangapin,positif,0,0,1
saya heran kalau pesan obat lokasinya pengirimanya sangat jauh kasian drivernya kenapa tidak di batasi jarak jangkaunya,negatif,1,0,0
respon cepat penjelasan juga dapat di mengerti ini aplikasi sangat bagus sangat rekomend,positif,0,0,1
aplikasi yang sangat membantu konsultasinya juga enak singkat dan padat dokternya pada memahami kondisi kita terimakasih halodoc,positif,0,0,1
dokter ramah juga menjawab chat dari saya tidak membutuhkan waktu lama hanya dalam hitungan detik saja,negatif,1,0,0
aplikasi ini sangat membantu dan respon dari dokter cepat,positif,0,0,1
konsuktasinya nyaman dan gampang,positif,0,0,1
cukup membantu dan lebih praktis tidak perlu mengantri hanya sesi konsultasi terbatas,positif,0,0,1
sangat bermanfat dan membatu pelayanan ramah dan akurat terimaksih,positif,0,0,1
pertanyan di jawab dengan baik dan detail tidak menungu terlalu lama sat menjawab saya sangat puas dengan jawaban tersebut terimakasih,positif,0,0,1
sangat membantu sekali sempat panik karena sibaby tapi lega sekarang terima kasih halodoc dan dokter eva penjelasanya sangat gamblang,positif,0,0,1
pertama kali coba halodoc dan terbantu banget bisa konsultasi langsung responya juga cepat,positif,0,0,1
dokter responsif dalam mengajukan pertanyan sukses terus kasih yang terbaik buat kami halodoc thnks,positif,0,0,1
asalamualaikum saya sangat menyukai aplikasinya saya bisa mengkonsultasikan keluhan saya dan saya juga bisa bertanya tanya tentang pencegahan penanganan dan juga obat yang bisa saya minum terimakasih buat para dokter yang sudah menerima dan merespon keluhan saya sekian wasalam,negatif,1,0,0
dokternya sangat ramah cepat tangap saya sangat suka layananya terima kasih dokter aulya terima kasih aplikasi halodoc,positif,0,0,1
aplikasi yang sangat bermanfat sekali apalagi ditengah pandemi seperti ini dokternya banyak yang ramah dan detail dalam memberikan penjelasan,netral,0,1,0
sangat membantu di setiap sat dimanapun,positif,0,0,1
sangat membantu untuk konsultasi dengan dokternya pelayanan yang ramah dan tidak menghabiskan waktu untuk ke puskesmas atau rumah sakit,netral,0,1,0
sangat bermanfat tapi untuk isi saldo tidak ada pilihan bayar minimarket jadi ribet mudahn kedepanya tambah fitur pembayaran lewat minimarket terimakasih,positif,0,0,1
senang sama aplikasi ini bisa membantu saya disat darurat dan di tempat yang susah dijangkau kita tetap bisa konsultasi dokternya cepat tangap menjawab setiap pertanyan,positif,0,0,1
sangat membantu semoga bisa di pakai untuk semua orang yang membutuhkan karena kalau konsul lngsung ke rumah sakit kondisi sedang pandemi begini jauh lebih aman,negatif,1,0,0
tolong dong kepada admin agar cara daftar tidak hanya mengunakan nomor telepon tapi juga bisa melalui gmail dan akun sosmed lainya atau lebih dilengkapi lagi untuk kode negaranya karena untuk kami yang berada di selain negara tersebut tidak bisa login terimakasih,negatif,1,0,0
sangat membantu dokternya ramah sekali,positif,0,0,1
sangat membantu dalam memberi solusi kehamilan saya,positif,0,0,1
pelayananya cepat ramah dan teliti,positif,0,0,1
aku suka dengan aplikasi ini bisa chat dokter dan responya menyenangkan bukan komputer yang jawab alias dokter asli tapi sayangnya chat gratis pada pertama saja dan harganya juga ribuan jika kalau chat lagi mungkin saran saya banyakin dokter gratisan atau adakan event event voucher chat gratis dokter terima kasih buat apk ini dari faiz athoir rohman the best,positif,0,0,1
sangat puas layanan ea,positif,0,0,1
bagus hanya sudah dua kali masih ada obat yang tidak tersediah dan harusnya dokter ganti resep,netral,0,1,0
saya pesan obat sudah kali tiba di cancel oleh pihak halodoc yang katanya tidak ada stock apa kalau tidak ada stock sedang apa di aplikasinya ada stock barangnya please alasan sudah transaksinya ribet pakai cash tidak bisa sangat ae kerja aplikasi iki terima kasih sudah bikin kecewa,negatif,1,0,0
pertama kali cobain dokternya langsung ramah sekali sampai minta foto dari keluhan yang saya ajukan terimakasih halodoc berguna sekali buat saya ibu ibu yang takut bawa bayi kerumahsakit untuk konsul saja selama pandemi,negatif,1,0,0
sangat membantu dengan informasi dan fasilitasnya,positif,0,0,1
baru kali ini pakai aplk ini dan sangat membantu sekali disat pandemi seperti ini terima kasih gbu al,netral,0,1,0
sangat membantu dan fast respon terimakasih,positif,0,0,1
sangat bermanfat dokter sangat baik cuma pengiriman obat belum bisa sampai ke daerah saya semoga bisa di perluas jangkauanya,netral,0,1,0
bagus dokter ramah baik banget sangat membantu dan mengurangi kepanikan kita sebagai orang tua sat anak sakit,netral,0,1,0
konsultasi dengan dokter ramah dan informatif sangat membantu,positif,0,0,1
suka banget dokternya ramah dan langsung diberi solusi dan bisa diresepkan obat,positif,0,0,1
ngebantu banget buat konseling awal sebelum konseling intens tatap muka ada hasilnya juga saya habis konsultasi ke psikolog walaupun berbayar tapi ini terjangkau banget buat saya yang cuma kerja ojol dan harus menghidupi anak saya tanpa seorang istri terimakasih halodoc,negatif,1,0,0
sangat cepat dan tangap dalam menjawab pertanyan,positif,0,0,1
sumpah keren banget bisa chat atau telpon dengan dokter spesialis tidak ribet ke rumah sakit tidak ribet antri murah pelayanan dokternya juga baik sudah coba dokter umum dokter paru dokter jantung,positif,0,0,1
sangat membantu banget obatnya juga original terima kasih halodoc,positif,0,0,1
oke aplikasi sudah bisa di buka setelah hari tidak bisa terbuka,netral,0,1,0
cepat memberi tangapan,positif,0,0,1
aplikasi halodoc ini sangat membantu dokternya ramah dan tangap sekali menjawab pertanyan saya semoga aplikasi ini semakin baik lagi so proud,positif,0,0,1
puas banget dokternya ramah jawabnya juga santai mudah di mengerti sabar banget mantap banget,positif,0,0,1
sangat membantu terlebih diberi resep obat sekalian terimaksih,positif,0,0,1
dokternya cepat tangap praktis obat lsng dikirim aplikasi halodoc sangat membantu disat pandemi covid,netral,0,1,0
dokterny ramah dan penjelasan detail lgsunv dapat resep juga jadi mudah banget,positif,0,0,1
pelayananya cepat baik dan ramah serta pemberian resep sangat detail trimakasih,positif,0,0,1
dokter sangat ramah juga memberikan saran yang baik,positif,0,0,1
apa yang sangat bagus dan membantu bagi saya sudh saya konsultasi doktrnya juga sangat ramah,positif,0,0,1
